City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,biltine,14.5333,20.9167,27.7,20,92,3.64,TD,1729727536
1,sitka,57.0531,-135.33,6.94,76,75,0.0,US,1729727538
2,marquette,46.5333,-87.6335,4.09,81,46,0.45,US,1729727539
3,yellowknife,62.456,-114.3525,1.29,99,20,1.54,CA,1729727540
4,weno,7.4515,151.8468,29.97,84,100,4.63,FM,1729727542
5,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,100,100,3.0,RU,1729727543
6,puerto armuelles,8.2833,-82.8667,27.83,75,91,0.45,PA,1729727544
7,papatowai,-46.5619,169.4708,14.38,89,100,2.84,NZ,1729727545
8,queenstown,-31.8976,26.8753,11.24,88,9,1.07,ZA,1729727546
9,ushuaia,-54.8,-68.3,8.81,61,0,8.75,AR,1729727547
10,edinburgh of the seven seas,-37.0676,-12.3116,14.23,90,100,16.18,SH,1729727548
11,blackmans bay,-43.0167,147.3167,11.96,61,23,0.89,AU,1729727549
12,hammerfest,70.6634,23.6821,6.25,81,100,5.14,NO,1729727550
13,east london,-33.0153,27.9116,16.36,88,36,1.93,ZA,1729727552
14,grytviken,-54.2811,-36.5092,-2.61,75,29,7.3,GS,1729727553
15,pangody,65.85,74.4859,-4.7,95,100,7.29,RU,1729727554
16,pangoa,-12.1167,-73.0,21.22,98,100,0.73,PE,1729727555
17,acarau,-2.8856,-40.12,25.54,78,97,7.59,BR,1729727556
18,adamstown,-25.066,-130.1015,20.8,76,70,7.73,PN,1729727557
19,waitangi,-43.9535,-176.5597,12.37,91,31,10.25,NZ,1729727558
20,olonkinbyen,70.9221,-8.7187,-0.92,84,100,3.0,SJ,1729727559
21,kavala,40.9397,24.4019,16.58,52,72,2.13,GR,1729727560
22,gargalianoi,37.0667,21.6333,16.08,67,28,1.51,GR,1729727562
23,vila franca do campo,37.7167,-25.4333,20.23,99,100,5.33,PT,1729727563
24,qaqortoq,60.7167,-46.0333,-0.11,81,100,3.64,GL,1729727564
25,udachny,66.4167,112.4,-17.32,100,98,1.05,RU,1729727565
26,stanley,54.868,-1.6985,10.01,89,0,3.6,GB,1729727566
27,charters towers,-20.1,146.2667,30.72,36,19,5.28,AU,1729727567
28,camacupa,-12.0167,17.4833,19.41,76,76,1.54,AO,1729727568
29,enewetak,11.3474,162.3373,28.59,79,64,4.5,MH,1729727569
30,corinto,37.9407,22.9573,16.61,64,7,0.83,GR,1729727570
31,punta arenas,-53.15,-70.9167,10.06,62,0,6.17,CL,1729727285
32,zeya,53.75,127.2667,-5.74,72,53,0.68,RU,1729727573
33,cockburn town,21.4612,-71.1419,28.72,77,86,6.09,TC,1729727574
34,tiksi,71.6872,128.8694,-20.58,95,58,1.31,RU,1729727575
35,sinabang,2.4803,96.3801,26.37,83,97,1.56,ID,1729727576
36,corner brook,48.9667,-57.9484,8.16,94,2,2.89,CA,1729727577
37,west island,-12.1568,96.8225,25.99,78,100,4.63,CC,1729727578
38,bredasdorp,-34.5322,20.0403,16.75,73,61,1.93,ZA,1729727579
39,port-aux-francais,-49.35,70.2167,2.7,71,98,13.19,TF,1729727580
40,polyarnyy,69.1989,33.4478,2.03,89,11,3.46,RU,1729727581
